frame_idx,cluster,target,x_c,y_c,z_c,pts,pts_dyn,z_q1,z_q3,z_std,l_r,s_r,angle
170695,0,143,-0.04160161373610574,2.6606004363131444,0.8166184372870694,31,31,0.7500336020766052,1.023983777470224,0.33947619522147404,0.19953830291033536,0.06861446501653093,1.1139947475413061
170696,0,143,0.003315362797019431,2.5531089921793177,0.8877444915555159,7,7,0.3673526056835189,1.5114837434098138,0.6808369299071565,0.15097289151340984,0.06984682858319961,-2.4788287389579744
170697,0,143,-0.023700161093032985,2.4416637625356885,1.3150875979822616,56,56,1.2450397153231805,1.525109061209037,0.32562402636677895,0.15815412759351583,0.10546165297453404,1.7732282329118232
170698,0,143,0.06331315805738219,2.3412729307557862,1.458199593221009,56,56,1.4488743307137746,1.6478083319379728,0.3403297107238075,0.1430224083336145,0.1259232748066662,-2.5161830126954077
170699,0,143,0.02969701305394153,2.328444981031097,1.207166352055676,69,65,1.204000788311065,1.2938916265724791,0.22893335437923534,0.14666460711814966,0.1199634140960568,-2.7348634127297227
170700,0,143,0.20912799836472745,2.2421559717452006,1.4260208925897822,73,73,1.3798688796541283,1.5116768016463,0.2107024816444498,0.13879644576271885,0.10387269551478934,2.139709376854034
170701,0,143,0.22509751934021038,2.309272390940282,1.1740047966185538,104,90,0.8266133109052959,1.4866539910759753,0.3909686592334583,0.18721378133144492,0.1098150117441555,3.0045155774772168
170702,0,143,0.2205200359761834,2.1552175588413545,1.2753711025186008,82,55,1.2329495787484128,1.442632980485537,0.3152673881599957,0.27863370070018967,0.10326363390520545,2.563396849928421
170703,0,143,0.40755583133604933,2.1006001883318,1.2284343048469952,160,129,1.057667823230288,1.3881943803596832,0.2765183806018386,0.3460441380343595,0.15307503447999402,2.869282918779116
170704,0,143,0.2804842862681224,2.075829213417758,1.2868183801619273,116,61,1.2902463531188089,1.4636260672058146,0.3836005553645382,0.392738419311748,0.11477878176566467,2.3270227248197726
170705,0,143,0.2878069351463099,2.088599737927269,1.2800408418174505,94,13,1.321259310002442,1.4718199957951381,0.4221821001189396,0.3295912563433283,0.12477630730984812,2.222678960333282
170706,0,143,0.5319735376259964,2.0131978567083046,1.243168490715946,144,49,1.120907233457781,1.4475114477355109,0.3006210145732844,0.25388184870719505,0.14660587283805665,2.7970024322174476
170707,0,143,0.4805936429459285,1.8286899162214931,1.2887801150793814,195,97,1.1444556485777824,1.4365232930540328,0.1774739002120982,0.2490338532526703,0.12498573314643296,1.8217722038527062
170708,0,143,0.4897032463969594,1.7833740226239478,1.3484312102511082,188,87,1.1821381234043147,1.5268518683719239,0.20567956127652492,0.26260955786686085,0.11748406539267836,1.8739202316469559
170709,0,143,0.536290973930093,1.5954842160624811,1.0865154210342196,154,33,1.0781433737425736,1.3373344374314027,0.4477214261797638,0.189849801465082,0.13166671918198988,1.662347725737875
170710,0,143,0.5900272484635485,1.5919732683300505,1.1290742405579268,116,7,1.0521441981376463,1.3502300152126607,0.36520719776086985,0.18503133876256414,0.10328770943526416,0.8219614169873841
