frame_idx,cluster,target,x_c,y_c,z_c,pts,pts_dyn,z_q1,z_q3,z_std,l_r,s_r,angle
3155534,0,62,1.949058862337108,1.224925241653749,0.9380830833134179,80,9,0.8914347569672045,1.0025772943237679,0.1294725368572547,0.1575038127150584,0.11701132709886534,-1.9236774545749695
3155535,0,62,1.9692868097585121,1.402206506159583,0.9418504702991445,74,7,0.8795041191708675,1.0799418033168902,0.1866643811005345,0.17315058730441127,0.12848965588889955,-1.8807647728699912
3155536,0,62,1.8680665079574288,1.3019353485517668,0.7163926495615547,102,29,0.6958653901372467,0.8677713028114167,0.2448630279447819,0.15485829830387993,0.12563265023665895,-1.6785527762424703
3155537,0,62,1.8973528912170878,1.3553521196443372,0.6174237875197952,133,56,0.42906518290212237,0.9123688636331837,0.379191213084611,0.2031038133576024,0.11518303121102072,-2.2759857914422637
3155538,0,62,1.7408544527558756,1.5080307367589807,1.0026135242168401,118,51,0.8981349462304431,1.1138171930976415,0.13360406418011456,0.14936079992139917,0.07429316481168803,-1.6610855541473037
3155539,0,62,1.7103571710746193,1.5364208281390317,1.0182364116770777,106,44,0.859698184888668,1.2058660689616723,0.22718035352146,0.16077258976840764,0.09936263134065584,-1.61693973684596
3155540,0,62,1.680529562466499,1.5077898423926561,0.9851561625563376,164,71,0.8086236370603721,1.1599000949602012,0.23204814948308977,0.14327714824739235,0.1011967363975441,-1.3649411969676781
3155541,0,62,1.5475698884814582,1.524917798457201,0.9324291416832319,161,61,0.8593758799802704,1.0333025067085844,0.162969139437844,0.14102412399396114,0.1127267796500594,-0.4169204995106906
3155542,0,62,1.5224744565348758,1.6104431656012774,0.8751872495785975,156,38,0.7873840363934013,0.9737614562716803,0.1902160537648583,0.25051250532053654,0.13361103323718113,0.7376292064284277
3155543,0,62,1.4827953690668432,1.6542395690266816,0.9137822159678474,200,80,0.8204869234476505,1.077064119723604,0.26503304998561605,0.26868377924377723,0.16691666816685907,-0.7625814386900293
3155544,0,62,1.44254411616172,1.7248851703856696,0.9462953297173989,175,44,0.8832036022790133,1.0215919098284902,0.12687886978298024,0.20353716837444405,0.19113456479401017,-1.0284887612651974
3155545,0,62,1.3773633032979138,1.9163313008399014,0.8881918874480644,228,93,0.8443536823282369,1.0841230469472043,0.3410825144896747,0.2104366680134432,0.18437055760958532,-0.19112024618248546
3155546,0,62,1.3288946206913188,1.8163642052440512,0.9432283524524298,152,24,0.9089605895239863,1.0790711248228047,0.2656892612521052,0.19036712600090785,0.12745269024575062,-1.0285775036052918
3155547,0,62,1.2986105639472116,1.9271008799265215,0.8083406797293633,151,53,0.4724886208045277,1.076114124791999,0.3575090458103427,0.20386844940953475,0.10811048299184092,-1.516172909521619
3155548,0,62,1.392364096004539,1.7752186104714458,0.9406991653621058,124,15,0.9050288157592488,1.0908558533220458,0.26091004553842156,0.39540441504356477,0.13301324280628252,-0.7108414382702335
3155549,0,62,1.3672800690483158,1.9013236217151548,0.8855434747175568,107,28,0.9148607531476735,1.0691497184503294,0.33535632020803047,0.35549489025282205,0.1748941274012603,-0.27316179895677484
3155550,0,62,1.3358208414328285,2.135545378974087,0.9194424191423672,99,32,0.903456515955239,1.016144067518425,0.20389726893995852,0.32839655045921184,0.23854317166579694,0.11460613557773629
