frame_idx,cluster,target,x_c,y_c,z_c,pts,pts_dyn,z_q1,z_q3,z_std,l_r,s_r,angle
3898000,0,109,1.0806127800016496,3.3394988233648495,0.6781068854672165,58,0,0.5922989538274506,0.7760859422171223,0.10967820689849396,0.16862884628631278,0.09567495141242473,2.3924043862398086
3898001,0,109,1.0986312872392885,3.332415890086557,0.6739175220963977,54,0,0.5961342381810679,0.7344344499624833,0.09528942476743281,0.15968506744507335,0.09541028905237783,2.3681860931676364
3898002,0,109,1.107824920407045,3.3257298807987805,0.6749625800288165,54,0,0.5995989953892862,0.7495939918290422,0.09503134123017747,0.1605984034289903,0.09480463896026488,2.3309829169620775
3898003,0,109,1.1139967408691869,3.3221195396972365,0.6703452551614327,56,0,0.5932290805525917,0.7341053051555371,0.09984328502883592,0.1557855709746618,0.10156015679709003,2.465302133160865
3898004,0,109,1.1207462932068804,3.2848558339507132,0.6758137536529334,43,0,0.6168733059352995,0.7147219622967463,0.08346177456931486,0.15063395597907886,0.09268968674490778,2.4879111318187976
3898005,0,109,1.1078806584350942,3.2897868488967603,0.6604066664880139,40,0,0.6143028177391587,0.6956032261463645,0.06722671856806837,0.14417114008834464,0.0862553849579116,2.688713920318464
3898006,0,109,1.1083296098052646,3.3153302391916357,0.6432244693914491,27,0,0.6105034004699523,0.681018611790502,0.04747092952824052,0.11424490689331851,0.08368088714737948,2.925999399860796
3898007,0,109,1.1491785006260775,3.3150797854530136,0.6138535324188762,8,0,0.5994727393412526,0.6389220666698667,0.05104236149555227,0.11737837337063178,0.04704269735429144,1.2155533768945055
3898008,0,109,1.1373698809133213,3.3190401370054317,0.6221921953410091,23,0,0.5926938071544655,0.6580977504516076,0.052099533473682916,0.11632236455716911,0.07268817532333238,2.8756083147504636
3898009,0,109,1.135537812932682,3.3641797595916567,0.623518396239585,13,0,0.585237381291797,0.6492136934458466,0.06821837142909712,0.09422613476191802,0.07353499322784333,2.723613672430677
3898010,0,109,1.0794752007810196,3.378527959489919,0.6466842727506394,17,0,0.5976038742306522,0.6795698148085318,0.06436680120979875,0.11026106880117321,0.07037058580107629,2.711445076734665
3898011,0,109,1.0677462318116753,3.36239249640758,0.6576841033518142,24,0,0.6094864869282983,0.6853678358963713,0.0735000806225412,0.1223012797159223,0.06420465538472353,2.5721524006709786
3898012,0,109,1.0784018738179335,3.343825728502603,0.639425039452321,22,0,0.6104566214927291,0.6742407341746636,0.07214433299974357,0.11097945186147627,0.06208179035475891,2.4400364597306172
3898013,0,109,1.078336432400219,3.302701766229826,0.674179377831302,39,0,0.6112442424772736,0.7062896537338359,0.08636800025975211,0.13662605543920467,0.08659894984217335,2.5267793797190636
3898014,0,109,1.0657773799050596,3.3027375533484995,0.6557204595470959,38,0,0.6079411778450186,0.6958756621988418,0.07233130117737109,0.13967850375617333,0.08560460299789986,2.6291305140480206
3898015,0,109,1.0868083805213855,3.2932608616243133,0.6547283494140961,36,0,0.6081121409040977,0.6909198140368888,0.06292870593072002,0.13875764533287457,0.07533613909316074,2.77410626954961
3898016,0,109,1.0721333594421736,3.3083122607601294,0.6518877905244317,33,0,0.6126908857802218,0.6922090859301422,0.05337944642261488,0.13710245161412402,0.07849537287670094,2.8440858662252912
3898017,0,109,1.113760691643038,3.323769983132107,0.6315356626291169,22,0,0.5990311465294134,0.6599761652348208,0.04040528214225844,0.12228622912917267,0.058965831023978364,2.851867122603037
3898018,0,109,1.096979888540009,3.3185122301219376,0.6538750382367585,37,0,0.6010477247027062,0.698903578287597,0.07521943039747331,0.15086237653794504,0.07277299082004833,2.988809601337659
3898019,0,109,1.086405902384609,3.309325833722286,0.6675620693475588,37,0,0.6170855880899158,0.7068897785455008,0.07363749195757088,0.15416931402299563,0.07124373128328443,2.8301596168026935
3898020,0,109,1.0836316334362484,3.315099641932044,0.6517088340069787,35,0,0.6133537654114579,0.691392086064756,0.055020806896265505,0.1520853856524999,0.08244200384346405,2.9772386579583827
3898021,0,109,1.1116697904737927,3.312462951821855,0.6344158830339588,30,0,0.5985684091880532,0.6754606737588512,0.0544635068665903,0.1400739321714636,0.07722728843663436,2.9535874741937955
3898022,0,109,1.1294365488971894,3.281806208005681,0.6299420126465802,35,0,0.5904004830688424,0.6711032497717485,0.05597332150453429,0.14034401161449103,0.08491363947366645,2.9480397416233086
3898023,0,109,1.1691747310465737,3.274434686159639,0.6255666720312001,42,0,0.577137427802487,0.67093496834683,0.06409890919490262,0.15363352861806817,0.08821036640132428,3.00450736112996
3898024,0,109,1.156670881849886,3.258788492040432,0.6329705297682189,39,0,0.5877034112106899,0.674592438231321,0.05722579185663351,0.15438420475845208,0.07546988987458157,2.8723167016688644
3898025,0,109,1.1423517784705557,3.275399569864347,0.6425576697047993,36,0,0.5927462481447723,0.6841289800959867,0.06608560408018858,0.1391831114254244,0.07814118635022749,2.7747673999525286
3898026,0,109,1.1326205413659278,3.323459189584326,0.6616184610442897,26,0,0.6011512970420937,0.6938201616762221,0.0821905898651965,0.134024552941883,0.054360647506939315,2.54859269597454
3898027,0,109,1.1069581823701127,3.331509271366992,0.6842688751480327,31,0,0.6072645979710597,0.7748474324383454,0.09007535479909949,0.14916767220942143,0.07441383191334401,2.4436710947874025
3898028,0,109,1.0579094757424998,3.3172153220335936,0.6917728807695456,36,0,0.6339277957375176,0.7229140845430707,0.08058691690513117,0.14326949515606052,0.08408292677095006,2.338651664354674
3898029,0,109,1.0707068720584645,3.320682698068199,0.6680607839652436,41,0,0.623877338116879,0.7056032750290042,0.062542332533595,0.15935475200006732,0.08721207887334705,2.2796370292440047
3898030,0,109,1.0785120598544218,3.2991498026409323,0.6589567050351856,33,0,0.620435048326389,0.688860732817997,0.04841882054151216,0.14486302507023063,0.08344208836405968,2.2392518517231537
3898031,0,109,1.0821344111796358,3.3261519737210015,0.648141355216878,17,0,0.6126908857802218,0.6741047982114399,0.052234975845456215,0.13876674447584583,0.0802653428638484,2.0187990077372664
3898032,0,109,1.0268731623648768,3.4032072245792455,0.6407998066456557,5,0,0.615415044909414,0.6248668473968411,0.08261293005138223,0.22163868248207136,0.051686832760492143,1.8433284676090005
3898033,0,109,1.097309198742917,3.363827599840354,0.6181982790571363,36,0,0.5830598762421391,0.6560189716106057,0.05339384966750358,0.14035376714711273,0.08274767659997768,2.505393438109034
3898034,0,109,1.133459404602273,3.332897519393412,0.6021570224605418,36,0,0.5716634354226579,0.6392476434592212,0.05414953024572083,0.13494372918843858,0.0980737553138809,2.451513864476487
3898035,0,109,1.084228056053155,3.368567686957638,0.6320933496296731,39,0,0.58448455894329,0.6757388277442481,0.06299743943907687,0.1413928316440083,0.0933884500702509,2.6770755325281796
3898036,0,109,1.0799606871648575,3.374976227052243,0.6470157455938707,36,0,0.5883129216987779,0.6895596765732818,0.07173001076203792,0.13010236553030446,0.09792788076827855,2.753076895757244
3898037,0,109,1.0626393278973842,3.369448996632928,0.6699516925867836,31,0,0.6129746469975803,0.7261361660479657,0.06846137224118291,0.12904322377249192,0.09920657284873453,2.4711678585582737
3898038,0,109,1.0810114013783363,3.2984856657835544,0.6580220621052206,38,0,0.6070984365536813,0.7001484380546154,0.06534400049022442,0.14189992538063045,0.08509230131323736,2.6577170509212755
3898039,0,109,1.0857090257596163,3.3003108867109994,0.6686976339126901,34,0,0.6145804886288819,0.7144084917920339,0.0705949155558253,0.12469379367701924,0.08588572319978276,2.56578162129313
3898040,0,109,1.082690423817143,3.2935416038914043,0.6702827410936953,40,0,0.6136737385879887,0.7114745875394578,0.07953650878923292,0.14325210484994583,0.08477269417250105,2.700980915059745
3898041,0,109,1.0751027795528167,3.2857153631931424,0.6566856429587196,38,0,0.6162333766316546,0.6968214552655402,0.05356070036162733,0.1390061885626483,0.0830002067453207,2.7856036852920014
3898042,0,109,1.1079707200874862,3.288369905415192,0.6569598657821769,39,0,0.6089428725951211,0.6996749177391539,0.059150915482996475,0.15166497381725505,0.07932146230611213,2.7521259207800037
3898043,0,109,1.0843164370865435,3.3009316484680653,0.6572806689883398,41,0,0.6063579418666174,0.7022527777847436,0.06151483917078193,0.15521143399535747,0.08781580988453777,2.6135053340490915
3898044,0,109,1.0670407384822407,3.3090985081238036,0.6722414459638211,42,0,0.6079359095742265,0.7153553449616814,0.0818209790770659,0.15482836221036567,0.088898695821447,2.616272460676315
3898045,0,109,1.0977946236140748,3.2992963134139512,0.6518320333154913,41,0,0.5907203839170183,0.6922114757146742,0.07866434260812326,0.15499355768505568,0.08687117414674227,2.5661123825773173
3898046,0,109,1.061456723802754,3.323494007923662,0.6628286336773969,35,0,0.6056774145860387,0.6980440983244871,0.07732604481003594,0.14634696953344487,0.0860126515070831,2.6356513535696178
3898047,0,109,1.0808964681210615,3.3329435144264425,0.6274091871697421,30,0,0.5899206820802921,0.67340012722174,0.07495278697038442,0.16453497337544482,0.06669991844400287,2.5380322939746955
