frame_idx,cluster,target,x_c,y_c,z_c,pts,pts_dyn,z_q1,z_q3,z_std,l_r,s_r,angle
199964,0,135,0.025506520237743035,3.0619913826066503,1.1959676542876687,49,9,1.2659533820826814,1.4004114469471647,0.4657877225091874,0.1413926153557764,0.08739253420618474,2.6655676542363445
199965,0,135,0.0287470613330532,3.043440486884667,1.277998336531043,43,5,1.2595106702800487,1.3979587638698798,0.35007399351548946,0.14117811786823864,0.0888000190627197,2.8231974941921707
199966,0,135,0.13940072465773237,3.15099832770294,1.3428216548802665,122,54,1.1711062415685594,1.5545843076605976,0.3486041010401278,0.1537878847454713,0.12005741015362009,2.9622423982874717
199967,0,135,0.1040933323772057,3.120202623695417,1.1902882907169599,82,7,0.827894044016058,1.480603253150338,0.41049412603510665,0.15257459050363212,0.10381640263559802,2.8072060202086
199968,0,135,0.143000000076732,3.147844567918544,0.9637044095165624,59,7,0.7793576064619527,1.2190865561359205,0.31257326818871306,0.15507358682357958,0.07163735585930317,2.6847949535333786
199969,0,135,0.19738071942021854,3.2173836132596896,1.016609661281139,68,14,0.7242317741820684,1.4283648121533445,0.4953644129226267,0.15846933913952566,0.13689707838606335,1.841630843913908
199970,0,135,0.3757367574098209,3.3238959963173977,1.226355085283669,158,94,0.7583373445756725,1.6031093739314517,0.4804123940217848,0.18791743735670258,0.1466726336775423,2.8593686958063502
199971,0,135,0.3958073245132517,3.2855839615418696,1.3798353714937448,114,47,1.2994794150117122,1.5144976135084902,0.28304804340237993,0.184780381472862,0.11213463684465595,2.8551084962596307
199972,0,135,0.5529531067082634,3.3556699900307954,1.151062415721313,109,55,1.0335671681948075,1.2713096114336757,0.31894834838647823,0.18890934594560893,0.1300303497688151,2.181970924161185
199973,0,135,0.6271258367383873,3.3975399963349804,1.1339650636119152,157,95,0.9835151363770342,1.3562550214363034,0.311833150607725,0.1946529980035894,0.11642556532578589,2.248801299799466
199974,0,135,0.5984479269721599,3.3645251783575825,1.1850108853392631,69,12,1.0134377083017239,1.385510740517288,0.3383475283573148,0.19150866571567493,0.09939671299503335,2.2655445228621303
199975,0,135,0.682208779351966,3.3600788723165658,1.2080751954472715,85,20,1.1307646881867057,1.409266372395491,0.30975294441807016,0.18382998369323766,0.1279239096423148,2.4669716772939623
199976,0,135,0.717024901456148,3.4882317227451396,0.9238278971534628,151,66,0.7210415858728549,1.2089283739175822,0.32312876653413264,0.25012850950576243,0.1519669440276781,2.1921710947278745
199977,0,135,0.7396449754188071,3.4219571144653376,0.9773723587846993,94,9,0.7527303650423325,1.278044345822606,0.4306975885146762,0.19078046281112934,0.14788489831648916,2.3033128157165788
199978,0,135,0.778305030913184,3.4536524083880007,0.964023433141788,76,6,0.567271579801268,1.3328457012833044,0.4766494543224274,0.1937793636123755,0.1241649565416858,1.8272732073271865
199979,0,135,0.8505619291685366,3.5360654039625072,0.6625119897005195,29,4,0.3149429409261517,0.9595905054019165,0.5160230579789937,0.23615177806878138,0.05685290269794139,1.8903389932705474
199980,0,135,0.9738913838453398,3.4748793053982663,0.7067452767872474,21,3,0.47643841651411467,0.7513514300112358,0.34399103218927135,0.2649270391712155,0.112005187225558,1.9781848031219667
199981,0,135,0.9990568985733275,3.453264843630522,0.7925031442416856,23,5,0.32149067502369233,1.4320550798259313,0.5558965371710751,0.20308034737231523,0.10272444404041779,2.1811273647693095
199982,0,135,1.0086915343664902,3.542895749584885,0.6988939482001953,112,72,0.45450778335310255,0.9041353411240152,0.3466139318654931,0.14616402430173142,0.07741233082863776,2.5425602076230076
199983,0,135,0.8983752012430801,3.5453934043312896,1.0060289683104273,39,17,0.5967125283472433,1.4324298507222752,0.5234312478172501,0.18186024843840223,0.06742194577305576,2.566620750425211
199984,0,135,1.0407840889032405,3.528795108168477,0.8919280872141313,69,45,0.6914746482637346,1.046396853814458,0.2882283150775503,0.13631263028313012,0.10332553767432281,2.9672854181337027
199985,0,135,0.9865711055723666,3.5710033769767837,0.9295237407732491,100,43,0.6884948091092589,1.1872501889424396,0.3026964001487601,0.15959773198556246,0.046046996912802014,2.7091837451540233
199986,0,135,1.0073815289617734,3.570319465838931,1.0195062407015243,65,6,0.7542525419578061,1.2642763994841104,0.3184934072156425,0.16917227984680258,0.06333961988823407,2.852950135665788
199987,0,135,1.0603089584230698,3.6573667164978985,1.1562171822030034,122,57,1.0395266243588877,1.3431584210937317,0.2922670135256456,0.16955824271872078,0.11166196545686832,2.6765212634483624
199988,0,135,1.0762826323654902,3.6997459071439796,1.0619266324722623,92,39,0.7280053107978719,1.376819882601752,0.38812680797923915,0.1470173175645903,0.13802815316253858,1.2889674110260616
199989,0,135,1.0763191169540554,3.7787877930340885,1.110005951838578,150,82,0.907174253500738,1.349210149385745,0.33794733792207227,0.17788560730450997,0.12970695598978937,2.2598863154478748
199990,0,135,1.1230937597589976,3.7626152228562066,0.9916865079360596,118,45,0.8063169296460658,1.3004065943201388,0.3091657902350286,0.18487943867187198,0.11992998307718017,1.7868099959254236
199991,0,135,1.0911997609622515,3.8604659216159956,1.062568969552332,58,29,0.9033446932335735,1.1679802191971813,0.2674002837060368,0.13244503330869264,0.10849678990584435,2.1394445207946298
199992,0,135,1.101069395045101,3.7656017104884483,1.1676213769448658,62,6,0.9610286848147557,1.353522964868644,0.2813495591242983,0.1559794234354636,0.11332398511859869,2.5618587710596166
199993,0,135,1.1851126990783811,3.959724308293223,0.9288572963287243,116,44,0.806588062794289,1.0907753795710358,0.23380060199901934,0.17684430357456551,0.13333627721457036,2.1342341911678813
199994,0,135,1.135688979621643,3.99278731754311,0.87865671115418,110,42,0.6588787391693313,1.087499361159196,0.27438858245825576,0.21418538521140348,0.12990567051066587,2.231256764636418
199995,0,135,1.2097669298647122,4.063430900331175,0.8875884077675866,46,11,0.6579498537122991,0.907630986874611,0.31264811989366725,0.2210917521088649,0.12966175647507067,1.914582094541151
199996,0,135,1.196046624055142,4.081396849532672,0.8261217074377253,35,7,0.6436122166962023,0.867069378275879,0.276052236919041,0.1980178760067981,0.1087243244661272,1.832694384176733
199997,0,135,1.0438152866578962,4.389433844714255,0.7198415649857531,69,47,0.6097270015859981,0.8355730199313036,0.20958909866476444,0.265570636373711,0.14175599557670315,2.1201198031735013
199998,0,135,1.108988935403201,4.269972829994309,0.9741387246517139,38,20,0.6704291156418891,1.2620740610303236,0.3615257351955952,0.19629305061508392,0.09794641004876416,1.7891794818044335
199999,0,135,1.1343772476565688,4.438988798162279,0.9128441388543568,103,54,0.7656507052703496,1.0177652157974888,0.23808306344448757,0.18301509974039046,0.10301199538194016,2.742963061035045
200000,0,135,1.1089420921249051,4.468516156307682,0.8820773685495447,60,5,0.7639520594729253,1.0064500249696584,0.19791184248574256,0.19096908063508283,0.12305137476161987,2.5445957814691456
200001,0,135,1.0736091940996835,4.55517505766636,1.0954397250419006,101,58,0.820780528586829,1.3008730259789711,0.29513810443739263,0.1922596424525506,0.10643791110612931,2.7287765131127584
200002,0,135,1.062453645453562,4.582558958135179,1.0210866700540289,101,56,0.7744973281355374,1.237852001249259,0.2738608193900883,0.20404422686256074,0.09027983384313219,2.3751460076433206
200003,0,135,0.9864442790089871,4.584947464523673,1.186269059206106,59,26,1.0111432749090126,1.3709460167979206,0.26208575004439394,0.203501354562331,0.0884289755774824,2.376142497135721
200004,0,135,1.0963336321696897,4.725792740137964,0.9338732711498714,56,19,0.7058257237422664,1.209055761076217,0.31130898756924374,0.3733028212895371,0.13129852163973682,1.7568381604885321
200005,0,135,0.9317699277782094,4.635533846827171,1.2229820165459508,15,5,1.0953673298237843,1.4742731778432114,0.32798186509326654,0.18993905247054882,0.06808159750251794,-2.749559890669079
200006,0,135,0.9427753801757488,4.747790298086649,0.9639450215038842,33,19,0.5985213891867565,1.2504758931181157,0.3930767157920367,0.15028498252364894,0.12422233374647972,-2.689388876443502
200007,0,135,0.891850785055499,4.720369200237312,1.1307560699298242,9,1,0.8129503218727141,1.4802912737604978,0.4274451144674661,0.21570723993923857,0.13547276962499433,-2.9438959766345043
200008,0,135,1.0322437825631354,4.920670979302012,1.0372045090145,27,3,0.5969234603527003,1.4874770836220557,0.6279333113219482,0.474789442667763,0.21708687684751482,0.9339408871128028
200009,0,135,1.0998712767467465,4.748806733992453,0.9247907239142213,8,0,0.48143201484768894,1.2595275087587245,0.4674424376410348,0.21752663246573395,0.060966208104963976,-2.7243675313761564
200010,0,135,1.0592767748997443,4.726980832664337,1.0368084323901925,7,0,0.7310783618195981,1.3478749757079154,0.47151112801299755,0.30427915675008455,0.09626769226763736,-3.092174542263708
200011,0,135,0.9754043108089128,4.798326920273965,0.9406089250673297,8,2,0.5579099028603207,1.4668972164749041,0.5206395243154602,0.2059069133995289,0.058625328633166,3.1022800437796128
200013,0,135,1.0862418742481996,4.794705773752331,0.6106022515340879,39,23,0.45143177786956223,0.7552999010758776,0.31757937740338477,0.15182290863589942,0.07247836615819916,2.55315966711018
200014,0,135,1.0380067247782676,4.8127653982805265,0.6501233384692152,44,16,0.4916754188254235,0.782284509683684,0.22995397223561556,0.18002808374990065,0.07487160452530656,2.6444249787053806
200015,0,135,1.0586021415883367,4.811345616905364,0.7118124344177984,56,19,0.5201022068249448,0.7937385957258765,0.2620757112954207,0.19646595076440376,0.06967082569331293,2.62681244959976
200016,0,135,1.0946252300147845,4.769686668823597,0.8002961228650747,45,4,0.5066918273339098,1.324940486735077,0.3954625953283138,0.1969700688884717,0.08329564042053576,2.5719122813940585
200017,1,135,1.1379437456909918,4.659079940733668,1.2350181396104063,28,4,1.1542782299104313,1.4128045727098577,0.27931757674397295,0.14242643281540707,0.0882679494425195,2.9132437252243033
200018,0,135,1.1716076987656812,4.686332699822204,1.1063860256566582,28,3,1.1213157298540724,1.4026529134937475,0.4285728796170347,0.1459435826976084,0.1266144081689549,2.868389170736808
200019,0,135,1.1418106255385438,4.703441698463326,1.2149618078024773,19,4,1.1699628818155776,1.4498777357659436,0.4308431916822275,0.11954400499404719,0.09195055339315415,1.5721862708108425
200020,0,135,1.1952366011648135,4.651164008698767,1.2562806738835657,21,6,1.1647767003538767,1.3891122355675911,0.2165274091265215,0.09861482905850422,0.08373352286834318,-3.1000180734713183
200021,0,135,1.205062700898487,4.691008071378198,1.2300910227858313,13,5,1.1034482278660724,1.4065936327866164,0.33143601888938523,0.12584256605368505,0.07692929621179684,0.7918919994494673
200022,0,135,1.210049724446022,4.741315529218436,0.9734799803273309,10,5,0.7145078977277179,1.3064505979199321,0.3508688062973395,0.13526552553194296,0.09100712861819094,3.067508362424024
200023,1,135,1.3078961819226427,4.6982824703293655,0.9398710961452078,6,0,0.5642506022623608,1.2879756917256242,0.5081468576143893,0.09012659867427272,0.05874359794001106,2.2236816006132676
200024,0,135,1.2667280066758082,4.719265884532175,1.150742709219996,46,34,1.0929075277512006,1.191609564578907,0.13264512648629592,0.25712008801416036,0.0914335432661399,2.5336904028413056
200025,0,135,1.330596266873058,4.6495878372682915,1.0979679739733215,35,10,0.9737890227252263,1.1632101731749347,0.15642647717061572,0.17609305148239035,0.09009907084704696,2.854528191892474
200026,0,135,1.3541822855803207,4.655313458048772,1.0900278024428431,32,5,1.0527497299815423,1.2098468701434035,0.26287686931556725,0.19197274551084242,0.07542971548819251,2.5611349132794596
200027,0,135,1.347829983129399,4.600233521866334,1.0999726988202498,69,35,1.0710060166975288,1.165748567403799,0.12086733274098913,0.1777477402466205,0.09659088369250725,2.6851995077040636
200029,0,135,1.290287596550875,4.595724718580893,1.1109051041958162,45,4,1.06479982194978,1.1943614660003823,0.1639807660823319,0.19421136315924958,0.1017215422648546,2.715707861395949
200030,0,135,1.2863704609350899,4.5068486383748105,0.9906341336239743,57,21,0.9127232814001092,1.0188653157762362,0.16041701136488498,0.15490521915776798,0.10128227989843298,2.888288068707894
200031,0,135,1.32245709310165,4.479459858927976,0.9561709410221296,77,39,0.8917801688527947,1.1409349245751108,0.2754478206488719,0.14551615253651776,0.11864118450779612,2.6021743136440554
200032,0,135,1.3172112909230986,4.454109602251419,0.9762699358586158,41,6,0.8895449184739808,1.1408570349066909,0.2035138293769418,0.12799964216463838,0.11936037519922077,2.6016472448412826
200033,0,135,1.1887304181299096,4.316557306468995,1.1448278770713638,56,39,0.9340459539010154,1.3307947509179783,0.27034893250530484,0.1540528692326038,0.1069672593696022,2.7057564576784885
200034,0,135,1.3515390544079908,4.245865083684454,1.086295581056893,65,41,0.7220536548925907,1.5467792930075763,0.4210899944378523,0.1415647036598789,0.11212204498822376,2.3218691636642648
200035,0,135,1.3728869257775036,4.224471201613534,0.982525247998441,31,6,0.7704191075570639,0.9933009382369082,0.3463713918621925,0.16404448730269963,0.08541428508222695,1.699174708809057
200036,0,135,1.3853469194591386,4.072306602239116,0.7812881611839774,111,54,0.5207857797594162,0.9500864265636443,0.3537056525077232,0.19482894788741556,0.14090602736283545,1.849803518033795
