frame_idx,cluster,target,x_c,y_c,z_c,pts,pts_dyn,z_q1,z_q3,z_std,l_r,s_r,angle
7698018,0,97,2.833425979043713,4.363427415766317,0.8403123985041144,14,5,0.6536103092281604,1.0009462432301532,0.23391521791500644,0.26344708895421837,0.09932925946729813,-1.3654496649788126
7698019,0,97,2.8473148379961595,4.350756419022055,0.8046859164879753,17,8,0.636504978100912,1.0790605702968017,0.2811417039525766,0.3186718051134248,0.1986333939357585,-0.7743223300591501
7698020,0,97,2.732363447103453,4.299364887423465,1.0801371908137214,16,7,0.9968680030940464,1.263388171845608,0.336537220586542,0.24163930091459565,0.18132091370205156,0.12744266188808667
7698021,0,97,2.6623441954208262,4.297713719276048,0.8168977293081722,17,7,0.7094038205027806,0.8958206390396997,0.311175164433394,0.3124414368322183,0.14425247901020188,0.12292754923963821
7698022,0,97,2.5251671569718352,4.286687340771616,0.9401758550332767,18,7,0.7235982721364729,1.1570860146398478,0.4185147567328924,0.32228820096264726,0.14619957919289023,0.3121322463523352
7698023,0,97,2.4027609894372124,4.234903274739802,0.9664013125010879,16,7,0.7292751426358477,1.0778609893537807,0.33776920018457396,0.323184306246522,0.13942347961920523,0.22995348509225225
7698024,0,97,2.424054130525346,4.193102255544183,0.7662798582110779,31,20,0.5083733324191363,0.969825400431023,0.3538610624033404,0.21523945437267633,0.13793260006131672,-2.1622130744956527
7698025,0,97,2.362925194030158,4.169040170217734,0.9193471604761556,21,9,0.6994130385004707,1.4145919396498394,0.46096268256365747,0.22543517470774374,0.21104556668778904,-0.32918363427864866
7698026,0,97,2.2380464053692712,4.14595479406734,0.8612215235285914,19,9,0.771210471662402,1.015495699404153,0.2644248100851128,0.3533830745930214,0.22731883703073585,-0.5064668103193026
7698027,0,97,2.228398312112818,4.06846622833728,0.9383255050216186,24,8,0.7134174248562348,1.0752313099326636,0.3043050050377682,0.2831860028478355,0.2108541805053054,-0.5495494353284385
7698028,0,97,2.3807861151070044,3.9362843527001137,0.8836310893316495,22,9,0.6748697978507003,1.151062588298221,0.32150111794863473,0.35627674961146416,0.2496847992319738,-0.5350311938631914
7698029,0,97,2.134108341308027,4.049851938250495,0.9482831437824927,23,6,0.8301963768959855,1.0451844215655557,0.1782548226310739,0.3517476007211846,0.15817938216073762,-1.074393826963731
7698030,0,97,2.0563301488478656,3.9198212118584554,0.6871718661077255,59,38,0.4706755109693044,1.0297983542351643,0.3687425954624126,0.3278677983547491,0.09712899620788934,-1.2032296078219042
7698031,0,97,2.1856770621688923,3.8127040465067212,0.7931723776714853,45,20,0.641815360523154,0.8633011495013603,0.2759152058171507,0.3168361164747972,0.15676420331102217,-1.0819479754500714
7698032,0,97,2.3126887273500576,3.6636476836445486,0.7720573053042814,25,6,0.6024765659675246,0.8473401758544938,0.2978953385484731,0.1902090573373386,0.1142738079868455,-1.5243307373699582
